MemberID,Name,MembershipType,Age,Gender,JoinDate
M078,Member 78,Student,21,Male,2024-04-24
M079,Member 79,Student,26,Male,2022-05-20
M080,Member 80,Student,63,Male,2022-01-19
M081,Member 81,Student,31,Female,2024-02-04
M082,Member 82,Student,21,Female,2025-09-12
M083,Member 83,Public,49,Male,2022-01-14
M084,Member 84,Faculty,52,Female,2022-01-25
M085,Member 85,Student,19,Female,2025-01-02
M086,Member 86,Public,36,Male,2024-10-25
M087,Member 87,Student,70,Female,2023-01-03
M088,Member 88,Student,24,Male,2024-12-09
M089,Member 89,Student,27,Male,2023-01-29
M090,Member 90,Student,57,Female,2023-12-27
M091,Member 91,Premium,35,Female,2022-06-11
M092,Member 92,Student,41,Female,2024-07-29
M093,Member 93,Student,54,Male,2023-04-08
M094,Member 94,Premium,37,Male,2025-08-31
M095,Member 95,Public,59,Male,2022-07-11
M096,Member 96,Student,43,Female,2024-02-12
M097,Member 97,Student,53,Female,2022-04-25
M098,Member 98,Student,58,Male,2022-12-17
M099,Member 99,Student,23,Female,2024-06-07
M100,Member 100,Public,59,Female,2025-03-04
M101,Member 101,Student,24,Male,2023-04-16
M102,Member 102,Student,31,Female,2023-07-10
M103,Member 103,Public,20,Male,2023-07-29
M104,Member 104,Student,52,Male,2023-01-03
M105,Member 105,Premium,38,Male,2023-03-01
M106,Member 106,Premium,55,Male,2024-03-26
M107,Member 107,Public,22,Female,2022-11-29
M108,Member 108,Student,54,Male,2025-03-06
M109,Member 109,Faculty,42,Female,2024-02-26
M110,Member 110,Student,66,Male,2022-06-10
M111,Member 111,Public,50,Female,2022-04-20
M112,Member 112,Student,24,Female,2023-04-21
M113,Member 113,Student,22,Female,2025-05-24
M114,Member 114,Faculty,67,Female,2023-10-31
M115,Member 115,Student,19,Female,2024-07-11
M116,Member 116,Public,49,Male,2023-12-30
M117,Member 117,Student,53,Female,2024-06-03
M118,Member 118,Public,29,Female,2022-06-25
M119,Member 119,Student,67,Female,2023-05-20
M120,Member 120,Student,63,Male,2022-06-18
M121,Member 121,Student,35,Male,2024-02-18
M122,Member 122,Premium,63,Male,2024-03-08
M123,Member 123,Student,38,Female,2022-08-07
M124,Member 124,Student,23,Male,2023-09-24
M125,Member 125,Student,46,Female,2023-07-07
M126,Member 126,Faculty,24,Male,2022-06-28
M127,Member 127,Public,29,Female,2024-07-08
M128,Member 128,Student,53,Female,2022-07-31
M129,Member 129,Student,19,Male,2023-12-26
M130,Member 130,Student,53,Male,2025-05-07
M131,Member 131,Faculty,56,Female,2024-02-28
M132,Member 132,Student,18,Female,2024-04-27
M133,Member 133,Student,42,Male,2025-02-19
M134,Member 134,Faculty,33,Male,2024-02-19
M135,Member 135,Public,28,Male,2023-07-05
M136,Member 136,Faculty,37,Female,2024-10-06
M137,Member 137,Student,27,Male,2022-12-09
M138,Member 138,Public,45,Female,2024-05-12
M139,Member 139,Student,37,Female,2022-06-07
M140,Member 140,Student,41,Female,2023-05-21
M141,Member 141,Faculty,64,Female,2025-05-01
M142,Member 142,Student,57,Male,2024-07-26
M143,Member 143,Student,24,Male,2023-09-16
M144,Member 144,Student,18,Female,2023-11-12
M145,Member 145,Premium,57,Female,2023-11-06
M146,Member 146,Student,46,Female,2024-05-31
M147,Member 147,Student,70,Male,2023-09-08
M148,Member 148,Student,38,Male,2024-09-08
M149,Member 149,Faculty,38,Male,2024-03-26
M150,Member 150,Faculty,38,Female,2025-07-20
